ccode,scode,country,year,source,idp,host
2,USA,United States,1964,0,0,96
2,USA,United States,1965,0,0,95
2,USA,United States,1966,0,0,97
2,USA,United States,1967,0,0,906
2,USA,United States,1968,0,0,987
2,USA,United States,1969,0,0,1051
2,USA,United States,1970,0,0,1057
2,USA,United States,1971,0,0,809
2,USA,United States,1972,0,0,800
2,USA,United States,1973,,,
2,USA,United States,1974,0,0,909
2,USA,United States,1975,,,
2,USA,United States,1976,0,0,814
2,USA,United States,1977,0,0,818
2,USA,United States,1978,0,0,719
2,USA,United States,1979,,,
2,USA,United States,1980,0,0,979
2,USA,United States,1981,0,0,0
2,USA,United States,1982,0,0,849
2,USA,United States,1983,0,0,0
2,USA,United States,1984,0,0,0
2,USA,United States,1985,0,0,0
2,USA,United States,1986,0,0,750
2,USA,United States,1987,0,0,627
2,USA,United States,1988,0,0,1662
2,USA,United States,1989,0,0,1902
2,USA,United States,1990,0,0,824
2,USA,United States,1991,0,0,269
2,USA,United States,1992,0,0,104
2,USA,United States,1993,0,0,150
2,USA,United States,1994,0,0,182
2,USA,United States,1995,0,0,152
2,USA,United States,1996,0,0,130
2,USA,United States,1997,0,0,491
2,USA,United States,1998,0,0,651
2,USA,United States,1999,0,0,638
2,USA,United States,2000,0,0,482
2,USA,United States,2001,0,0,492
2,USA,United States,2002,0,0,638
2,USA,United States,2003,0,0,244
2,USA,United States,2004,0,0,233
2,USA,United States,2005,0,0,177
2,USA,United States,2006,0,0,147
2,USA,United States,2007,0,0,151
2,USA,United States,2008,0,0,161
20,CAN,Canada,1964,0,0,0
20,CAN,Canada,1965,0,0,0
20,CAN,Canada,1966,0,0,0
20,CAN,Canada,1967,0,0,0
20,CAN,Canada,1968,0,0,10
20,CAN,Canada,1969,0,0,10
20,CAN,Canada,1970,0,0,15
20,CAN,Canada,1971,0,0,17
20,CAN,Canada,1972,0,0,17
20,CAN,Canada,1973,,,
20,CAN,Canada,1974,0,0,17
20,CAN,Canada,1975,,,
20,CAN,Canada,1976,0,0,12
20,CAN,Canada,1977,0,0,13
20,CAN,Canada,1978,0,0,24
20,CAN,Canada,1979,,,
20,CAN,Canada,1980,0,0,45
20,CAN,Canada,1981,0,0,0
20,CAN,Canada,1982,0,0,338
20,CAN,Canada,1983,0,0,0
20,CAN,Canada,1984,0,0,0
20,CAN,Canada,1985,0,0,0
20,CAN,Canada,1986,0,0,0
20,CAN,Canada,1987,0,0,0
20,CAN,Canada,1988,0,0,130
20,CAN,Canada,1989,0,0,52
20,CAN,Canada,1990,0,0,37
20,CAN,Canada,1991,0,0,30
20,CAN,Canada,1992,0,0,38
20,CAN,Canada,1993,0,0,20
20,CAN,Canada,1994,0,0,22
20,CAN,Canada,1995,0,0,25
20,CAN,Canada,1996,0,0,26
20,CAN,Canada,1997,0,0,49
20,CAN,Canada,1998,0,0,46
20,CAN,Canada,1999,0,0,53
20,CAN,Canada,2000,0,0,54
20,CAN,Canada,2001,0,0,70
20,CAN,Canada,2002,0,0,78
20,CAN,Canada,2003,0,0,70
20,CAN,Canada,2004,0,0,55
20,CAN,Canada,2005,0,0,40
20,CAN,Canada,2006,0,0,44
20,CAN,Canada,2007,0,0,55
20,CAN,Canada,2008,0,0,72
40,CUB,Cuba,1964,134,0,0
40,CUB,Cuba,1965,129,0,0
40,CUB,Cuba,1966,147,0,0
40,CUB,Cuba,1967,432,0,0
40,CUB,Cuba,1968,513,0,0
40,CUB,Cuba,1969,580,0,0
40,CUB,Cuba,1970,482,0,0
40,CUB,Cuba,1971,260,0,0
40,CUB,Cuba,1972,253,0,0
40,CUB,Cuba,1973,,,
40,CUB,Cuba,1974,346,0,0
40,CUB,Cuba,1975,,,
40,CUB,Cuba,1976,670,0,0
40,CUB,Cuba,1977,670,0,0
40,CUB,Cuba,1978,549,0,0
40,CUB,Cuba,1979,,,
40,CUB,Cuba,1980,687,0,0
40,CUB,Cuba,1981,0,0,3
40,CUB,Cuba,1982,0,0,3
40,CUB,Cuba,1983,0,0,0
40,CUB,Cuba,1984,0,0,2
40,CUB,Cuba,1985,0,0,2
40,CUB,Cuba,1986,0,0,0
40,CUB,Cuba,1987,0,0,0
40,CUB,Cuba,1988,0,0,0
40,CUB,Cuba,1989,0,0,0
40,CUB,Cuba,1990,0,0,0
40,CUB,Cuba,1991,0,0,0
40,CUB,Cuba,1992,2,0,1
40,CUB,Cuba,1993,1,0,0
40,CUB,Cuba,1994,31,0,0
40,CUB,Cuba,1995,4,0,2
40,CUB,Cuba,1996,1,0,2
40,CUB,Cuba,1997,0,0,2
40,CUB,Cuba,1998,0,0,1
40,CUB,Cuba,1999,1,0,1
40,CUB,Cuba,2000,1,0,1
40,CUB,Cuba,2001,1,0,1
40,CUB,Cuba,2002,34,0,1
40,CUB,Cuba,2003,28,0,1
40,CUB,Cuba,2004,25,0,0
40,CUB,Cuba,2005,15,0,0
40,CUB,Cuba,2006,11,0,0
40,CUB,Cuba,2007,12,0,0
40,CUB,Cuba,2008,25,0,0
41,HAI,Haiti,1964,10,0,0
41,HAI,Haiti,1965,16,0,0
41,HAI,Haiti,1966,16,0,0
41,HAI,Haiti,1967,30,0,0
41,HAI,Haiti,1968,31,0,0
41,HAI,Haiti,1969,31,0,0
41,HAI,Haiti,1970,372,0,0
41,HAI,Haiti,1971,371,0,0
41,HAI,Haiti,1972,370,0,0
41,HAI,Haiti,1973,,,
41,HAI,Haiti,1974,370,0,0
41,HAI,Haiti,1975,,,
41,HAI,Haiti,1976,0,0,0
41,HAI,Haiti,1977,2,0,0
41,HAI,Haiti,1978,3,0,0
41,HAI,Haiti,1979,,,
41,HAI,Haiti,1980,41,0,0
41,HAI,Haiti,1981,0,0,0
41,HAI,Haiti,1982,,0,0
41,HAI,Haiti,1983,5,0,0
41,HAI,Haiti,1984,5,0,0
41,HAI,Haiti,1985,6,0,0
41,HAI,Haiti,1986,0,0,0
41,HAI,Haiti,1987,0,0,0
41,HAI,Haiti,1988,952,0,0
41,HAI,Haiti,1989,1212,0,0
41,HAI,Haiti,1990,0,0,0
41,HAI,Haiti,1991,7,200,0
41,HAI,Haiti,1992,2,0,0
41,HAI,Haiti,1993,2,300,0
41,HAI,Haiti,1994,6,0,0
41,HAI,Haiti,1995,1,0,0
41,HAI,Haiti,1996,0,0,0
41,HAI,Haiti,1997,1,0,0
41,HAI,Haiti,1998,0,0,0
41,HAI,Haiti,1999,23,0,0
41,HAI,Haiti,2000,23,0,0
41,HAI,Haiti,2001,25,0,0
41,HAI,Haiti,2002,33,6,0
41,HAI,Haiti,2003,26,0,0
41,HAI,Haiti,2004,20,0,0
41,HAI,Haiti,2005,16,0,0
41,HAI,Haiti,2006,15,0,0
41,HAI,Haiti,2007,17,0,0
41,HAI,Haiti,2008,15,0,0
42,DOM,Dominican Republic,1964,0,0,5
42,DOM,Dominican Republic,1965,0,0,5
42,DOM,Dominican Republic,1966,0,0,5
42,DOM,Dominican Republic,1967,0,0,5
42,DOM,Dominican Republic,1968,0,0,5
42,DOM,Dominican Republic,1969,0,0,5
42,DOM,Dominican Republic,1970,0,0,300
42,DOM,Dominican Republic,1971,0,0,300
42,DOM,Dominican Republic,1972,0,0,300
42,DOM,Dominican Republic,1973,,,
42,DOM,Dominican Republic,1974,0,0,300
42,DOM,Dominican Republic,1975,,,
42,DOM,Dominican Republic,1976,0,0,0
42,DOM,Dominican Republic,1977,0,0,0
42,DOM,Dominican Republic,1978,0,0,0
42,DOM,Dominican Republic,1979,,,
42,DOM,Dominican Republic,1980,0,0,30
42,DOM,Dominican Republic,1981,0,0,3
42,DOM,Dominican Republic,1982,0,0,4
42,DOM,Dominican Republic,1983,0,0,5
42,DOM,Dominican Republic,1984,0,0,5
42,DOM,Dominican Republic,1985,0,0,6
42,DOM,Dominican Republic,1986,0,0,6
42,DOM,Dominican Republic,1987,0,0,6
42,DOM,Dominican Republic,1988,0,0,381
42,DOM,Dominican Republic,1989,0,0,652
42,DOM,Dominican Republic,1990,0,0,0
42,DOM,Dominican Republic,1991,0,0,0
42,DOM,Dominican Republic,1992,0,0,0
42,DOM,Dominican Republic,1993,0,0,1
42,DOM,Dominican Republic,1994,0,0,1
42,DOM,Dominican Republic,1995,0,0,1
42,DOM,Dominican Republic,1996,0,0,1
42,DOM,Dominican Republic,1997,0,0,1
42,DOM,Dominican Republic,1998,0,0,1
42,DOM,Dominican Republic,1999,0,0,1
42,DOM,Dominican Republic,2000,0,0,1
42,DOM,Dominican Republic,2001,0,0,1
42,DOM,Dominican Republic,2002,0,0,0
42,DOM,Dominican Republic,2003,0,0,1
42,DOM,Dominican Republic,2004,0,0,0
42,DOM,Dominican Republic,2005,0,0,0
42,DOM,Dominican Republic,2006,0,0,0
42,DOM,Dominican Republic,2007,0,0,0
42,DOM,Dominican Republic,2008,0,0,0
51,JAM,Jamaica,1964,0,0,0
51,JAM,Jamaica,1965,0,0,0
51,JAM,Jamaica,1966,0,0,0
51,JAM,Jamaica,1967,0,0,0
51,JAM,Jamaica,1968,0,0,0
51,JAM,Jamaica,1969,0,0,0
51,JAM,Jamaica,1970,0,0,0
51,JAM,Jamaica,1971,0,0,0
51,JAM,Jamaica,1972,0,0,0
51,JAM,Jamaica,1973,,,
51,JAM,Jamaica,1974,0,0,0
51,JAM,Jamaica,1975,,,
51,JAM,Jamaica,1976,0,0,0
51,JAM,Jamaica,1977,0,0,0
51,JAM,Jamaica,1978,0,0,0
51,JAM,Jamaica,1979,,,
51,JAM,Jamaica,1980,0,0,0
51,JAM,Jamaica,1981,0,0,0
51,JAM,Jamaica,1982,0,0,0
51,JAM,Jamaica,1983,0,0,0
51,JAM,Jamaica,1984,0,0,0
51,JAM,Jamaica,1985,0,0,0
51,JAM,Jamaica,1986,0,0,0
51,JAM,Jamaica,1987,0,0,0
51,JAM,Jamaica,1988,0,0,0
51,JAM,Jamaica,1989,0,0,0
51,JAM,Jamaica,1990,0,0,0
51,JAM,Jamaica,1991,0,0,0
51,JAM,Jamaica,1992,0,0,0
51,JAM,Jamaica,1993,0,0,0
51,JAM,Jamaica,1994,0,0,0
51,JAM,Jamaica,1995,0,0,0
51,JAM,Jamaica,1996,0,0,0
51,JAM,Jamaica,1997,0,0,0
51,JAM,Jamaica,1998,0,0,0
51,JAM,Jamaica,1999,0,0,0
51,JAM,Jamaica,2000,0,0,0
51,JAM,Jamaica,2001,0,0,0
51,JAM,Jamaica,2002,0,0,0
51,JAM,Jamaica,2003,0,0,0
51,JAM,Jamaica,2004,0,0,0
51,JAM,Jamaica,2005,0,0,0
51,JAM,Jamaica,2006,0,0,0
51,JAM,Jamaica,2007,0,0,0
51,JAM,Jamaica,2008,0,0,0
52,TRI,Trinidad & Tobago,1964,0,0,0
52,TRI,Trinidad & Tobago,1965,0,0,0
52,TRI,Trinidad & Tobago,1966,0,0,0
52,TRI,Trinidad & Tobago,1967,0,0,0
52,TRI,Trinidad & Tobago,1968,0,0,0
52,TRI,Trinidad & Tobago,1969,0,0,0
52,TRI,Trinidad & Tobago,1970,0,0,0
52,TRI,Trinidad & Tobago,1971,0,0,0
52,TRI,Trinidad & Tobago,1972,0,0,0
52,TRI,Trinidad & Tobago,1973,,,
52,TRI,Trinidad & Tobago,1974,0,0,0
52,TRI,Trinidad & Tobago,1975,,,
52,TRI,Trinidad & Tobago,1976,0,0,0
52,TRI,Trinidad & Tobago,1977,0,0,0
52,TRI,Trinidad & Tobago,1978,0,0,0
52,TRI,Trinidad & Tobago,1979,,,
52,TRI,Trinidad & Tobago,1980,0,0,0
52,TRI,Trinidad & Tobago,1981,0,0,0
52,TRI,Trinidad & Tobago,1982,0,0,0
52,TRI,Trinidad & Tobago,1983,0,0,0
52,TRI,Trinidad & Tobago,1984,0,0,0
52,TRI,Trinidad & Tobago,1985,0,0,0
52,TRI,Trinidad & Tobago,1986,0,0,0
52,TRI,Trinidad & Tobago,1987,0,0,0
52,TRI,Trinidad & Tobago,1988,0,0,0
52,TRI,Trinidad & Tobago,1989,0,0,0
52,TRI,Trinidad & Tobago,1990,0,0,0
52,TRI,Trinidad & Tobago,1991,0,0,0
52,TRI,Trinidad & Tobago,1992,0,0,0
52,TRI,Trinidad & Tobago,1993,0,0,0
52,TRI,Trinidad & Tobago,1994,0,0,0
52,TRI,Trinidad & Tobago,1995,0,0,0
52,TRI,Trinidad & Tobago,1996,0,0,0
52,TRI,Trinidad & Tobago,1997,0,0,0
52,TRI,Trinidad & Tobago,1998,0,0,0
52,TRI,Trinidad & Tobago,1999,0,0,0
52,TRI,Trinidad & Tobago,2000,0,0,0
52,TRI,Trinidad & Tobago,2001,0,0,0
52,TRI,Trinidad & Tobago,2002,0,0,0
52,TRI,Trinidad & Tobago,2003,0,0,0
52,TRI,Trinidad & Tobago,2004,0,0,0
52,TRI,Trinidad & Tobago,2005,0,0,0
52,TRI,Trinidad & Tobago,2006,0,0,0
52,TRI,Trinidad & Tobago,2007,0,0,0
52,TRI,Trinidad & Tobago,2008,0,0,0
70,MEX,Mexico,1964,0,0,0
70,MEX,Mexico,1965,0,0,0
70,MEX,Mexico,1966,0,0,0
70,MEX,Mexico,1967,0,0,0
70,MEX,Mexico,1968,0,0,0
70,MEX,Mexico,1969,0,0,0
70,MEX,Mexico,1970,0,0,5
70,MEX,Mexico,1971,0,0,5
70,MEX,Mexico,1972,0,0,0
70,MEX,Mexico,1973,,,
70,MEX,Mexico,1974,0,0,0
70,MEX,Mexico,1975,,,
70,MEX,Mexico,1976,0,0,0
70,MEX,Mexico,1977,0,0,0
70,MEX,Mexico,1978,0,0,0
70,MEX,Mexico,1979,,,
70,MEX,Mexico,1980,0,0,5
70,MEX,Mexico,1981,0,0,46
70,MEX,Mexico,1982,0,0,105
70,MEX,Mexico,1983,0,0,140
70,MEX,Mexico,1984,0,0,170
70,MEX,Mexico,1985,0,0,175
70,MEX,Mexico,1986,0,0,175
70,MEX,Mexico,1987,0,0,165
70,MEX,Mexico,1988,0,0,163
70,MEX,Mexico,1989,0,0,431
70,MEX,Mexico,1990,0,0,413
70,MEX,Mexico,1991,0,0,388
70,MEX,Mexico,1992,0,0,47
70,MEX,Mexico,1993,0,0,52
70,MEX,Mexico,1994,0,0,50
70,MEX,Mexico,1995,0,0,38
70,MEX,Mexico,1996,0,0,34
70,MEX,Mexico,1997,0,14,30
70,MEX,Mexico,1998,0,15,8
70,MEX,Mexico,1999,0,16,8
70,MEX,Mexico,2000,0,16,6
70,MEX,Mexico,2001,0,15,6
70,MEX,Mexico,2002,0,12,4
70,MEX,Mexico,2003,21,12,3
70,MEX,Mexico,2004,4,0,5
70,MEX,Mexico,2005,4,0,3
70,MEX,Mexico,2006,6,11,4
70,MEX,Mexico,2007,9,6,4
70,MEX,Mexico,2008,11,6,4
90,GUA,Guatemala,1964,0,0,0
90,GUA,Guatemala,1965,0,0,0
90,GUA,Guatemala,1966,0,0,0
90,GUA,Guatemala,1967,0,0,0
90,GUA,Guatemala,1968,0,0,0
90,GUA,Guatemala,1969,0,0,0
90,GUA,Guatemala,1970,0,0,0
90,GUA,Guatemala,1971,0,0,0
90,GUA,Guatemala,1972,0,0,0
90,GUA,Guatemala,1973,,,
90,GUA,Guatemala,1974,0,0,0
90,GUA,Guatemala,1975,,,
90,GUA,Guatemala,1976,0,0,0
90,GUA,Guatemala,1977,0,0,0
90,GUA,Guatemala,1978,0,0,0
90,GUA,Guatemala,1979,,,
90,GUA,Guatemala,1980,0,0,0
90,GUA,Guatemala,1981,0,0,0
90,GUA,Guatemala,1982,,0,75
90,GUA,Guatemala,1983,20,140,70
90,GUA,Guatemala,1984,40,268,70
90,GUA,Guatemala,1985,48,250,70
90,GUA,Guatemala,1986,52,300,12
90,GUA,Guatemala,1987,48,300,0
90,GUA,Guatemala,1988,43,325,2
90,GUA,Guatemala,1989,59,300,125
90,GUA,Guatemala,1990,183,100,267
90,GUA,Guatemala,1991,47,150,258
90,GUA,Guatemala,1992,46,150,5
90,GUA,Guatemala,1993,49,200,5
90,GUA,Guatemala,1994,45,200,5
90,GUA,Guatemala,1995,34,200,2
90,GUA,Guatemala,1996,35,200,1
90,GUA,Guatemala,1997,30,250,1
90,GUA,Guatemala,1998,151,0,1
90,GUA,Guatemala,1999,146,0,1
90,GUA,Guatemala,2000,100,0,1
90,GUA,Guatemala,2001,129,0,1
90,GUA,Guatemala,2002,129,0,1
90,GUA,Guatemala,2003,12,0,1
90,GUA,Guatemala,2004,13,0,0
90,GUA,Guatemala,2005,5,0,0
90,GUA,Guatemala,2006,3,242,0
90,GUA,Guatemala,2007,3,0,0
90,GUA,Guatemala,2008,0,0,0
91,HON,Honduras,1964,0,0,0
91,HON,Honduras,1965,0,0,0
91,HON,Honduras,1966,0,0,0
91,HON,Honduras,1967,0,0,0
91,HON,Honduras,1968,0,0,0
91,HON,Honduras,1969,0,0,0
91,HON,Honduras,1970,40,0,0
91,HON,Honduras,1971,40,0,0
91,HON,Honduras,1972,40,0,0
91,HON,Honduras,1973,,,
91,HON,Honduras,1974,40,0,0
91,HON,Honduras,1975,,,
91,HON,Honduras,1976,0,0,0
91,HON,Honduras,1977,0,0,0
91,HON,Honduras,1978,0,0,0
91,HON,Honduras,1979,,,
91,HON,Honduras,1980,0,0,13
91,HON,Honduras,1981,0,0,33
91,HON,Honduras,1982,0,0,25
91,HON,Honduras,1983,0,0,33
91,HON,Honduras,1984,0,0,38
91,HON,Honduras,1985,0,0,62
91,HON,Honduras,1986,0,12,62
91,HON,Honduras,1987,0,12,52
91,HON,Honduras,1988,0,12,164
91,HON,Honduras,1989,0,22,170
91,HON,Honduras,1990,12,22,247
91,HON,Honduras,1991,0,7,52
91,HON,Honduras,1992,0,0,0
91,HON,Honduras,1993,0,0,0
91,HON,Honduras,1994,0,0,0
91,HON,Honduras,1995,0,0,0
91,HON,Honduras,1996,0,0,0
91,HON,Honduras,1997,0,0,0
91,HON,Honduras,1998,0,0,0
91,HON,Honduras,1999,0,0,0
91,HON,Honduras,2000,0,0,0
91,HON,Honduras,2001,0,0,0
91,HON,Honduras,2002,0,0,0
91,HON,Honduras,2003,0,0,0
91,HON,Honduras,2004,0,0,0
91,HON,Honduras,2005,0,0,0
91,HON,Honduras,2006,0,0,0
91,HON,Honduras,2007,0,0,0
91,HON,Honduras,2008,0,0,0
92,SAL,El Salvador,1964,0,0,0
92,SAL,El Salvador,1965,0,0,0
92,SAL,El Salvador,1966,0,0,0
92,SAL,El Salvador,1967,0,0,0
92,SAL,El Salvador,1968,0,0,0
92,SAL,El Salvador,1969,0,0,0
92,SAL,El Salvador,1970,0,0,40
92,SAL,El Salvador,1971,0,0,40
92,SAL,El Salvador,1972,0,0,40
92,SAL,El Salvador,1973,,,
92,SAL,El Salvador,1974,0,0,40
92,SAL,El Salvador,1975,,,
92,SAL,El Salvador,1976,0,0,0
92,SAL,El Salvador,1977,0,0,0
92,SAL,El Salvador,1978,0,0,0
92,SAL,El Salvador,1979,,,
92,SAL,El Salvador,1980,0,0,1
92,SAL,El Salvador,1981,89,50,0
92,SAL,El Salvador,1982,250,183,0
92,SAL,El Salvador,1983,241,225,0
92,SAL,El Salvador,1984,244,550,0
92,SAL,El Salvador,1985,252,518,0
92,SAL,El Salvador,1986,180,500,0
92,SAL,El Salvador,1987,159,450,0
92,SAL,El Salvador,1988,152,325,0
92,SAL,El Salvador,1989,61,222,0
92,SAL,El Salvador,1990,237,400,20
92,SAL,El Salvador,1991,24,300,20
92,SAL,El Salvador,1992,23,154,0
92,SAL,El Salvador,1993,22,0,0
92,SAL,El Salvador,1994,16,0,0
92,SAL,El Salvador,1995,12,0,0
92,SAL,El Salvador,1996,12,0,0
92,SAL,El Salvador,1997,4,0,0
92,SAL,El Salvador,1998,250,0,0
92,SAL,El Salvador,1999,253,0,0
92,SAL,El Salvador,2000,230,0,0
92,SAL,El Salvador,2001,217,0,0
92,SAL,El Salvador,2002,203,0,0
92,SAL,El Salvador,2003,5,0,0
92,SAL,El Salvador,2004,5,0,0
92,SAL,El Salvador,2005,0,0,0
92,SAL,El Salvador,2006,0,0,0
92,SAL,El Salvador,2007,0,0,0
92,SAL,El Salvador,2008,0,0,0
93,NIC,Nicaragua,1964,0,0,0
93,NIC,Nicaragua,1965,0,0,0
93,NIC,Nicaragua,1966,0,0,0
93,NIC,Nicaragua,1967,0,0,0
93,NIC,Nicaragua,1968,0,0,0
93,NIC,Nicaragua,1969,0,0,0
93,NIC,Nicaragua,1970,0,0,0
93,NIC,Nicaragua,1971,0,0,0
93,NIC,Nicaragua,1972,0,0,0
93,NIC,Nicaragua,1973,,,
93,NIC,Nicaragua,1974,0,0,0
93,NIC,Nicaragua,1975,,,
93,NIC,Nicaragua,1976,0,0,0
93,NIC,Nicaragua,1977,0,0,0
93,NIC,Nicaragua,1978,0,0,0
93,NIC,Nicaragua,1979,,,
93,NIC,Nicaragua,1980,40,0,0
93,NIC,Nicaragua,1981,0,0,7
93,NIC,Nicaragua,1982,,0,20
93,NIC,Nicaragua,1983,12,500,22
93,NIC,Nicaragua,1984,23,100,19
93,NIC,Nicaragua,1985,43,145,18
93,NIC,Nicaragua,1986,50,250,3
93,NIC,Nicaragua,1987,55,250,8
93,NIC,Nicaragua,1988,55,275,8
93,NIC,Nicaragua,1989,90,390,7
93,NIC,Nicaragua,1990,64,354,16
93,NIC,Nicaragua,1991,25,354,19
93,NIC,Nicaragua,1992,31,0,6
93,NIC,Nicaragua,1993,23,0,5
93,NIC,Nicaragua,1994,23,0,0
93,NIC,Nicaragua,1995,16,0,0
93,NIC,Nicaragua,1996,18,0,1
93,NIC,Nicaragua,1997,19,0,1
93,NIC,Nicaragua,1998,19,0,0
93,NIC,Nicaragua,1999,18,0,0
93,NIC,Nicaragua,2000,16,0,0
93,NIC,Nicaragua,2001,3,0,0
93,NIC,Nicaragua,2002,13,0,0
93,NIC,Nicaragua,2003,3,0,0
93,NIC,Nicaragua,2004,8,0,0
93,NIC,Nicaragua,2005,4,0,0
93,NIC,Nicaragua,2006,0,0,0
93,NIC,Nicaragua,2007,2,0,0
93,NIC,Nicaragua,2008,0,0,0
94,COS,Costa Rica,1964,0,0,0
94,COS,Costa Rica,1965,0,0,0
94,COS,Costa Rica,1966,0,0,0
94,COS,Costa Rica,1967,0,0,0
94,COS,Costa Rica,1968,0,0,0
94,COS,Costa Rica,1969,0,0,0
94,COS,Costa Rica,1970,0,0,2
94,COS,Costa Rica,1971,0,0,2
94,COS,Costa Rica,1972,0,0,2
94,COS,Costa Rica,1973,,,
94,COS,Costa Rica,1974,0,0,2
94,COS,Costa Rica,1975,,,
94,COS,Costa Rica,1976,0,0,0
94,COS,Costa Rica,1977,0,0,0
94,COS,Costa Rica,1978,0,0,0
94,COS,Costa Rica,1979,,,
94,COS,Costa Rica,1980,0,0,25
94,COS,Costa Rica,1981,0,0,13
94,COS,Costa Rica,1982,0,0,13
94,COS,Costa Rica,1983,0,0,15
94,COS,Costa Rica,1984,0,0,17
94,COS,Costa Rica,1985,0,0,19
94,COS,Costa Rica,1986,0,0,31
94,COS,Costa Rica,1987,0,0,32
94,COS,Costa Rica,1988,0,0,214
94,COS,Costa Rica,1989,0,0,198
94,COS,Costa Rica,1990,0,0,187
94,COS,Costa Rica,1991,0,0,104
94,COS,Costa Rica,1992,0,0,34
94,COS,Costa Rica,1993,0,0,25
94,COS,Costa Rica,1994,0,0,25
94,COS,Costa Rica,1995,0,0,20
94,COS,Costa Rica,1996,0,0,23
94,COS,Costa Rica,1997,0,0,23
94,COS,Costa Rica,1998,0,0,23
94,COS,Costa Rica,1999,0,0,23
94,COS,Costa Rica,2000,0,0,7
94,COS,Costa Rica,2001,0,0,11
94,COS,Costa Rica,2002,0,0,13
94,COS,Costa Rica,2003,0,0,14
94,COS,Costa Rica,2004,0,0,11
94,COS,Costa Rica,2005,0,0,12
94,COS,Costa Rica,2006,0,0,12
94,COS,Costa Rica,2007,0,0,12
94,COS,Costa Rica,2008,0,0,19
95,PAN,Panama,1964,0,0,0
95,PAN,Panama,1965,0,0,0
95,PAN,Panama,1966,0,0,0
95,PAN,Panama,1967,0,0,0
95,PAN,Panama,1968,0,0,0
95,PAN,Panama,1969,0,0,0
95,PAN,Panama,1970,0,0,0
95,PAN,Panama,1971,0,0,0
95,PAN,Panama,1972,0,0,0
95,PAN,Panama,1973,,,
95,PAN,Panama,1974,0,0,0
95,PAN,Panama,1975,,,
95,PAN,Panama,1976,0,0,0
95,PAN,Panama,1977,0,0,0
95,PAN,Panama,1978,0,0,0
95,PAN,Panama,1979,,,
95,PAN,Panama,1980,0,0,1
95,PAN,Panama,1981,0,0,2
95,PAN,Panama,1982,0,0,1
95,PAN,Panama,1983,0,0,2
95,PAN,Panama,1984,0,0,2
95,PAN,Panama,1985,0,0,5
95,PAN,Panama,1986,0,0,1
95,PAN,Panama,1987,0,0,1
95,PAN,Panama,1988,0,0,1
95,PAN,Panama,1989,0,0,1
95,PAN,Panama,1990,0,0,1
95,PAN,Panama,1991,0,10,1
95,PAN,Panama,1992,0,0,1
95,PAN,Panama,1993,0,0,1
95,PAN,Panama,1994,0,0,1
95,PAN,Panama,1995,0,0,1
95,PAN,Panama,1996,0,0,1
95,PAN,Panama,1997,0,0,0
95,PAN,Panama,1998,0,0,1
95,PAN,Panama,1999,0,0,1
95,PAN,Panama,2000,0,0,1
95,PAN,Panama,2001,0,0,2
95,PAN,Panama,2002,0,0,2
95,PAN,Panama,2003,0,0,2
95,PAN,Panama,2004,0,0,0
95,PAN,Panama,2005,0,0,0
95,PAN,Panama,2006,0,0,11
95,PAN,Panama,2007,0,0,12
95,PAN,Panama,2008,0,0,17
100,COL,Colombia,1964,0,0,0
100,COL,Colombia,1965,0,0,0
100,COL,Colombia,1966,0,0,0
100,COL,Colombia,1967,0,0,0
100,COL,Colombia,1968,0,0,0
100,COL,Colombia,1969,0,0,0
100,COL,Colombia,1970,0,0,0
100,COL,Colombia,1971,0,0,0
100,COL,Colombia,1972,0,0,0
100,COL,Colombia,1973,,,
100,COL,Colombia,1974,0,0,0
100,COL,Colombia,1975,,,
100,COL,Colombia,1976,0,0,0
100,COL,Colombia,1977,0,0,0
100,COL,Colombia,1978,0,0,0
100,COL,Colombia,1979,,,
100,COL,Colombia,1980,0,0,0
100,COL,Colombia,1981,0,0,2
100,COL,Colombia,1982,0,0,2
100,COL,Colombia,1983,0,0,0
100,COL,Colombia,1984,0,0,0
100,COL,Colombia,1985,0,0,0
100,COL,Colombia,1986,0,0,0
100,COL,Colombia,1987,0,0,0
100,COL,Colombia,1988,0,0,0
100,COL,Colombia,1989,0,0,0
100,COL,Colombia,1990,0,50,0
100,COL,Colombia,1991,4,150,0
100,COL,Colombia,1992,0,300,0
100,COL,Colombia,1993,0,450,0
100,COL,Colombia,1994,0,600,0
100,COL,Colombia,1995,0,600,0
100,COL,Colombia,1996,0,600,0
100,COL,Colombia,1997,0,1000,0
100,COL,Colombia,1998,0,1400,0
100,COL,Colombia,1999,0,1800,0
100,COL,Colombia,2000,10,2100,0
100,COL,Colombia,2001,25,2450,0
100,COL,Colombia,2002,59,2500,0
100,COL,Colombia,2003,234,2730,0
100,COL,Colombia,2004,264,2900,0
100,COL,Colombia,2005,258,2900,0
100,COL,Colombia,2006,453,2843,0
100,COL,Colombia,2007,579,3505,0
100,COL,Colombia,2008,397,3505,0
101,VEN,Venezuela,1964,0,0,0
101,VEN,Venezuela,1965,0,0,0
101,VEN,Venezuela,1966,0,0,0
101,VEN,Venezuela,1967,0,0,0
101,VEN,Venezuela,1968,0,0,0
101,VEN,Venezuela,1969,0,0,0
101,VEN,Venezuela,1970,0,0,0
101,VEN,Venezuela,1971,0,0,0
101,VEN,Venezuela,1972,0,0,0
101,VEN,Venezuela,1973,,,
101,VEN,Venezuela,1974,0,0,0
